Date,Open,High,Low,Close,Volume
2018-12-26,3346.59326171875,3411.1865234375,3310.973388671875,3395.22802734375,4688475417
2018-12-27,3392.916259765625,3407.929443359375,3188.728515625,3197.248291015625,4487918526
2018-12-28,3195.960693359375,3459.712158203125,3178.294921875,3429.697021484375,4922254447
2018-12-29,3437.1904296875,3464.51953125,3339.224365234375,3339.224365234375,4362951863
2018-12-30,3340.95166015625,3411.224365234375,3318.95556640625,3379.538330078125,4170344379
2018-12-31,3380.236083984375,3366.611083984375,3242.27978515625,3256.927734375,4056771164
2019-01-01,3260.419921875,3358.304931640625,3235.65283203125,3353.505859375,3772904282
2019-01-02,3358.422119140625,3481.464111328125,3323.5703125,3483.446044921875,4633091490
2019-01-03,3473.87158203125,3471.459228515625,3355.364013671875,3368.355712890625,3977171075
2019-01-04,3363.94873046875,3392.450439453125,3333.139892578125,3385.297607421875,4254278768
2019-01-05,3380.25732421875,3426.704833984375,3367.01416015625,3374.292724609375,4508432437
2019-01-06,3366.679931640625,3590.927001953125,3357.76513671875,3572.601806640625,4905016564
2019-01-07,3574.443359375,3586.8115234375,3515.712890625,3506.494384765625,4554786508
2019-01-08,3509.339111328125,3591.6376953125,3492.50341796875,3518.60791015625,4632231428
2019-01-09,3519.37158203125,3549.9384765625,3510.328369140625,3492.60546875,4427887595
2019-01-10,3491.71044921875,3515.612548828125,3181.4765625,3197.2578125,5974139645
2019-01-11,3192.72314453125,3239.57080078125,3169.443603515625,3215.769775390625,4830339183
2019-01-12,3215.427734375,3225.8974609375,3186.5068359375,3192.19677734375,4165967738
2019-01-13,3190.07568359375,3203.931396484375,3093.601318359375,3100.2216796875,4084792180
2019-01-14,3104.109619140625,3249.573486328125,3098.569580078125,3230.38037109375,4926029291
2019-01-15,3228.39111328125,3241.083251953125,3171.643798828125,3180.91796875,4851261531
2019-01-16,3181.456787109375,3237.273193359375,3177.5263671875,3206.829833984375,4732988810
2019-01-17,3203.914306640625,3230.761962890625,3179.520263671875,3228.888916015625,4796438707
2019-01-18,3228.488525390625,3232.405517578125,3198.4306640625,3217.80126953125,4401105431
2019-01-19,3212.996826171875,3306.3818359375,3212.996826171875,3280.021484375,5239221707
2019-01-20,3277.27490234375,3293.058349609375,3150.602783203125,3168.37353515625,4911786934
2019-01-21,3167.8095703125,3172.1025390625,3130.11767578125,3145.284912109375,4401553439
2019-01-22,3144.659423828125,3185.6015625,3115.655517578125,3172.09619140625,4676089688
2019-01-23,3172.92626953125,3190.161865234375,3132.524169921875,3148.845947265625,4772516490
2019-01-24,3148.3310546875,3199.286376953125,3134.04541015625,3183.176025390625,4652392026
2019-01-25,3188.94384765625,3194.637451171875,3150.447998046875,3156.998291015625,4618153557
2019-01-26,3156.953857421875,3205.380126953125,3151.367919921875,3158.251953125,4469541555
2019-01-27,3160.2041015625,3167.203857421875,3129.02734375,3140.374755859375,4881255301
2019-01-28,3140.6279296875,3142.06201171875,3008.073486328125,3036.359619140625,6044747641
2019-01-29,3034.98388671875,3042.30810546875,2973.738037109375,3015.4541015625,5157195714
2019-01-30,3012.242431640625,3059.73193359375,2998.61572265625,3035.26513671875,5184854539
