Date,Open,High,Low,Close,Volume,Williams_%R14,ROC_14,rsi_7,rsi_14,rsi_28,Stochastic_K3,Stochastic_D3,MACD_Line,Signal_Line,MACD_Histogram,midlle_band,upper_band20,lower_band20,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,ema_3,ema_8,ema_15,ema_50,ema_100,ADX_14,Donchian_Upper_10,Donchian_Lower_10,Donchian_Upper_20,Donchian_Lower_20,ERI_13,ALMA_10,TSI_13_25,Z_Score_20,LogReturn_5,LogReturn_10,LogReturn_20,kurtosis_5,kurtosis_10,kurtosis_20,Positive_VI_7,Negative_VI_7,Aroon_Up_16,Aroon_Down_16,Bull_Power_14,Bear_Power_14,Upper_Band_20,Lower_Band_20,Middle_Band_20,Short_Run_14,Bias_26,TTM_Trend_5_20,Percent_Return_1,Percent_Return_5,Percent_Return_10,Percent_Return_20,Stdev_5,Stdev_10,Stdev_20,VIX_21,Chaikin_Volatility_10,atr_14,Chaikin_Oscillator_3,TR,ATR,Middle Band,Upper Band,Lower Band,OBV_10,CMF_5,VPT_7,A/D Line_3,MFI_14,EOM_14,month,day,year,day_of_week,targetvalue_j1,targetvalue_j2,targetvalue_j3,target_night
2018-12-26,3346.59326171875,3411.1865234375,3310.973388671875,3395.22802734375,4688475417,,,,,,,,0.0,0.0,0.0,,,,,,,,3145.284912109375,3395.22802734375,3395.22802734375,3395.22802734375,3395.22802734375,3395.22802734375,,,,,,,,,,0.0,0.0,0.0,,,,,,,,15.95849609375,-84.254638671875,,,,,,0.0,,,,,,,,,,100.213134765625,,100.213134765625,,,,,,,,,,,12,26,2018,2,3197.248291015625,3429.697021484375,3339.224365234375,3392.916259765625
2018-12-27,3392.916259765625,3407.929443359375,3188.728515625,3197.248291015625,4487918526,,,0.0,0.0,0.0,,,-25.99733911379417,-5.199467822758834,-20.797871291035335,,,,,,,,3172.09619140625,3296.2381591796875,3351.2325303819443,3370.4805603027344,3387.4641161151962,3391.307636525371,,,,,,-888516926439.5874,,-100.0,,0.0,0.0,0.0,,,,,,,,39.09871419270803,-180.10221354166697,,,,,,-47.138032459077294,-5.831117519461982,,,,,,,,,159.70703125,,219.200927734375,,,,,,,,-8975837052.0,0.0,-3.0649113166939923,12,27,2018,3,3429.697021484375,3339.224365234375,3379.538330078125,3195.960693359375
2018-12-28,3195.960693359375,3459.712158203125,3178.294921875,3429.697021484375,4922254447,,,54.00403281840689,54.00403281840689,54.00403281840689,100.0,,-13.330526625352377,-6.825679583277543,-6.504847042074834,,,,,,,,3148.845947265625,3362.9675903320312,3368.669083960262,3377.8826179504395,3389.120308482615,3392.067822366143,,,,,,-598132823055.4594,,-97.42447997818635,,0.0,0.0,0.0,,,,,,,,82.76592339409672,-198.65131293402828,,,,,,-18.729115181228735,7.270274602130167,,,,,,,,,200.277099609375,1201828388.1637998,281.417236328125,,,,,,,,-13898091499.0,561.4124212237466,-0.9414482496436433,12,28,2018,4,3339.224365234375,3379.538330078125,3256.927734375,3437.1904296875
2018-12-29,3437.1904296875,3464.51953125,3339.224365234375,3339.224365234375,4362951863,,,44.62434811219103,44.62434811219103,44.62434811219103,61.07844681811976,,-15.985138785032632,-8.65757142362856,-7.327567361404071,,,,,,,,3183.176025390625,3351.095977783203,3362.125813132287,3373.0503363609314,3387.1636048258215,3391.0214172744245,,,,,,-569074968924.179,,-95.39443998440689,,0.0,0.0,0.0,,,,,,,,92.60287905092537,-32.69228696469963,,,,,,-22.540111321376116,-2.637919783679421,,,,,,,,,181.5316162109375,-1617878570.9337368,125.295166015625,,,,,,,,-18447477556.666668,-162.88327773414454,0.16563894063293896,12,29,2018,5,3379.538330078125,3256.927734375,3353.505859375,3340.95166015625
2018-12-30,3340.95166015625,3411.224365234375,3318.95556640625,3379.538330078125,4170344379,,,48.60216719007003,48.60216719007003,48.60216719007003,44.559280687362374,68.54590916849405,-12.245452225829013,-9.375147584068651,-2.8703046417603613,,,,,,,,3156.998291015625,3365.317153930664,3365.995261342473,3373.8613355755806,3386.864574443559,3390.7940294091513,,,,,,-463760956694.81964,,-93.31716068020619,,0.0,0.0,0.0,2.6419929058221587,,,,,,,38.29148931809368,-53.97730951003132,,,,,,-14.524685258305908,1.2072852984504445,,,,90.41912193391914,,,,,163.679052734375,-583605404.7970946,92.268798828125,,,,,,,,-27417844682.666668,-68.54168854218767,-0.07922097921948013,12,30,2018,6,3256.927734375,3353.505859375,3483.446044921875,3380.236083984375
2018-12-31,3380.236083984375,3366.611083984375,3242.27978515625,3256.927734375,4056771164,,,39.88775236973169,39.88775236973169,39.88775236973169,0.0,35.21257583516071,-25.45422778688635,-12.590963624632192,-12.863264162254158,,,,,,,,3158.251953125,3311.122444152832,3341.758033127479,3359.244635425508,3381.7690120879292,3388.1432116857027,,,,,,-468566981316.88824,,-91.67644988862637,,-0.04073372741239678,0.0,0.0,-1.4401480231352535,,,,,,,9.145560273597766,-115.18573855452723,,,,,,-38.42188168106168,-3.6280279649999025,-0.7239010735121387,,,93.53145034155524,,,,,159.275634765625,-1631899718.7662506,124.331298828125,,,,,,223.3127155760296,,-35811222953.333336,-43.46011650056133,-0.43510163707429833,12,31,2018,0,3353.505859375,3483.446044921875,3368.355712890625,3260.419921875
2019-01-01,3260.419921875,3358.304931640625,3235.65283203125,3353.505859375,3772904282,,,47.32688593332654,47.32688593332654,47.32688593332654,78.76817207041634,41.10915091925957,-21.597563228302988,-14.39228354536635,-7.205279682936638,,,,,,,,3140.374755859375,3332.314151763916,3344.3686611824837,3358.5272884191945,3380.6606531580105,3387.457323521134,,,,,,-349574552363.0426,,-89.26206760151422,,0.04887251603150866,0.0,0.0,1.2524992921387508,,,,,,,1.3673631746178216,-121.28473643475718,,,,,,-28.62152970808711,2.9653137212924063,1.0353851746387388,,,63.2438968713949,,,,,154.043701171875,1284809183.043448,122.652099609375,,,,,,309.5860159462941,,-43811236170.0,-31.92147361937151,-0.40303931383212355,1,1,2019,1,3483.446044921875,3368.355712890625,3385.297607421875,3358.422119140625
2019-01-02,3358.422119140625,3481.464111328125,3323.5703125,3483.446044921875,4633091490,,,54.845312219662844,54.845312219662844,54.845312219662844,100.0,59.58939069013878,-1.3714616357087834,-11.788119163434837,10.416657527726054,,,,,,,,3036.359619140625,3407.8800983428955,3375.2747464579043,3374.1421329820296,3384.691452835025,3389.3580902815447,,,,,,-213631792330.28687,,-85.83277491058203,,0.01567165353114408,0.0,0.0,1.5067151872581306,,,0.9267554423478525,0.9997092199206491,,,107.6587460013352,-50.2350528267898,,,,,,9.136553110839031,3.87475647861526,0.35628154993575745,,,81.67986200836677,,,,,154.52496337890625,4325487566.636245,159.875732421875,,,,,,367.88497910654365,181667004.96849132,-52119747460.666664,-105.9995174684467,0.16835225401225307,1,2,2019,2,3368.355712890625,3385.297607421875,3374.292724609375,3473.87158203125
2019-01-03,3473.87158203125,3471.459228515625,3355.364013671875,3368.355712890625,3977171075,,,60.33938441910816,48.689710605190875,48.689710605190875,11.428222495702087,63.398798188706145,-2.15534326857005,-9.861563984461881,7.706220715891831,,,,3340.34716796875,,,,3015.4541015625,3388.1179056167603,3373.737183442953,3373.418830470604,3384.0508355823035,3388.9422016203384,,,,,,-248503527649.79355,,-83.12130568248944,,0.00872398631237381,0.0,0.0,1.7481114803154831,,,0.9153540206992045,1.135635773631249,,,98.38048351365705,-17.714731330092945,,,,,,4.218760419231785,-3.3039217644558416,0.2230811537804733,,,80.63427930317741,,,,,151.58685980902777,-474889481.8905964,116.09521484375,,,,,,429.8176998178343,33389688.016931504,-60375192025.333336,-77.02972403198925,0.18705974257694086,1,3,2019,3,3385.297607421875,3374.292724609375,3572.601806640625,3363.94873046875
2019-01-04,3363.94873046875,3392.450439453125,3333.139892578125,3385.297607421875,4254278768,,,46.372287194528866,49.52366431022493,49.52366431022493,14.720519293184278,42.049580596295456,-0.44136749944709663,-7.977524687458925,7.5361571880118285,,,,3340.34716796875,,,,3035.26513671875,3386.7077565193176,3376.3061665493806,3374.903677589513,3384.09972859562,3388.8700314381904,,3483.446044921875,3197.248291015625,,,-202706517672.1099,3356.6681760321785,-80.69164218938027,,0.0017041609774008926,0.0,0.0,1.6215251261909671,0.8591583899989947,,1.0514701802269357,1.1579205994963249,,,17.742512795169205,-41.568034079830795,,,,,,5.152328273981311,0.5029722504192202,0.08221854417422847,,,80.8747523204882,81.65078969051805,,,,142.359228515625,1123087718.7757964,59.310546875,,,,,4535989864.1,478.2565393308083,58147261.98036755,-68951552914.0,-168.56549014454595,0.08786826109410381,1,4,2019,4,3374.292724609375,3572.601806640625,3506.494384765625,3380.25732421875
